data_seed,node_index,top_k,model_seed_a,model_seed_b,jaccard
2027,591,8,0,1,1.0
2027,591,8,0,2,1.0
2027,591,8,1,2,1.0
2027,519,2,0,1,1.0
2027,519,2,0,2,1.0
2027,519,2,1,2,1.0
2027,519,4,0,1,1.0
2027,519,4,0,2,1.0
2027,519,4,1,2,1.0
2027,519,6,0,1,1.0
2027,519,6,0,2,1.0
2027,519,6,1,2,1.0
2027,519,8,0,1,1.0
2027,519,8,0,2,1.0
2027,519,8,1,2,1.0
2027,138,2,0,1,1.0
2027,138,2,0,2,1.0
2027,138,2,1,2,1.0
2027,138,4,0,1,1.0
2027,138,4,0,2,1.0
2027,138,4,1,2,1.0
2027,138,6,0,1,1.0
2027,138,6,0,2,0.7142857142857143
2027,138,6,1,2,0.7142857142857143
2027,138,8,0,1,1.0
2027,138,8,0,2,1.0
2027,138,8,1,2,1.0
2027,322,2,0,1,1.0
2027,322,2,0,2,1.0
2027,322,2,1,2,1.0
2027,322,4,0,1,1.0
2027,322,4,0,2,1.0
2027,322,4,1,2,1.0
2027,322,6,0,1,1.0
2027,322,6,0,2,1.0
2027,322,6,1,2,1.0
2027,322,8,0,1,1.0
2027,322,8,0,2,1.0
2027,322,8,1,2,1.0
2027,164,2,0,1,1.0
2027,164,2,0,2,1.0
2027,164,2,1,2,1.0
2027,164,4,0,1,1.0
2027,164,4,0,2,1.0
2027,164,4,1,2,1.0
2027,164,6,0,1,1.0
2027,164,6,0,2,1.0
2027,164,6,1,2,1.0
2027,164,8,0,1,1.0
2027,164,8,0,2,1.0
2027,164,8,1,2,1.0
2027,468,2,0,1,1.0
2027,468,2,0,2,1.0
2027,468,2,1,2,1.0
2027,468,4,0,1,1.0
2027,468,4,0,2,1.0
2027,468,4,1,2,1.0
2027,468,6,0,1,1.0
2027,468,6,0,2,1.0
2027,468,6,1,2,1.0
2027,468,8,0,1,1.0
2027,468,8,0,2,1.0
2027,468,8,1,2,1.0
2027,285,2,0,1,1.0
2027,285,2,0,2,1.0
2027,285,2,1,2,1.0
2027,285,4,0,1,1.0
2027,285,4,0,2,1.0
2027,285,4,1,2,1.0
2027,285,6,0,1,1.0
2027,285,6,0,2,1.0
2027,285,6,1,2,1.0
2027,285,8,0,1,1.0
2027,285,8,0,2,1.0
2027,285,8,1,2,1.0
2027,76,2,0,1,1.0
2027,76,2,0,2,0.3333333333333333
2027,76,2,1,2,0.3333333333333333
2027,76,4,0,1,1.0
2027,76,4,0,2,1.0
2027,76,4,1,2,1.0
2027,76,6,0,1,1.0
2027,76,6,0,2,1.0
2027,76,6,1,2,1.0
2027,76,8,0,1,1.0
2027,76,8,0,2,1.0
2027,76,8,1,2,1.0
2027,75,2,0,1,1.0
2027,75,2,0,2,1.0
2027,75,2,1,2,1.0
2027,75,4,0,1,1.0
2027,75,4,0,2,1.0
2027,75,4,1,2,1.0
2027,75,6,0,1,1.0
2027,75,6,0,2,1.0
2027,75,6,1,2,1.0
2027,75,8,0,1,1.0
2027,75,8,0,2,1.0
2027,75,8,1,2,1.0
2027,232,2,0,1,1.0
2027,232,2,0,2,1.0
2027,232,2,1,2,1.0
2027,232,4,0,1,1.0
2027,232,4,0,2,1.0
2027,232,4,1,2,1.0
2027,232,6,0,1,1.0
2027,232,6,0,2,0.7142857142857143
2027,232,6,1,2,0.7142857142857143
2027,232,8,0,1,1.0
2027,232,8,0,2,1.0
2027,232,8,1,2,1.0
2027,165,2,0,1,0.3333333333333333
2027,165,2,0,2,0.3333333333333333
2027,165,2,1,2,1.0
2027,165,4,0,1,1.0
2027,165,4,0,2,1.0
2027,165,4,1,2,1.0
2027,165,6,0,1,1.0
2027,165,6,0,2,1.0
2027,165,6,1,2,1.0
2027,165,8,0,1,1.0
2027,165,8,0,2,1.0
2027,165,8,1,2,1.0
2027,275,2,0,1,1.0
2027,275,2,0,2,1.0
2027,275,2,1,2,1.0
2027,275,4,0,1,1.0
2027,275,4,0,2,1.0
2027,275,4,1,2,1.0
2027,275,6,0,1,1.0
2027,275,6,0,2,1.0
2027,275,6,1,2,1.0
2027,275,8,0,1,1.0
2027,275,8,0,2,1.0
2027,275,8,1,2,1.0
2027,586,2,0,1,1.0
2027,586,2,0,2,1.0
2027,586,2,1,2,1.0
2027,586,4,0,1,1.0
2027,586,4,0,2,1.0
2027,586,4,1,2,1.0
2027,586,6,0,1,1.0
2027,586,6,0,2,1.0
2027,586,6,1,2,1.0
2027,586,8,0,1,1.0
2027,586,8,0,2,1.0
2027,586,8,1,2,1.0
2028,329,2,0,1,1.0
2028,329,2,0,2,1.0
2028,329,2,1,2,1.0
2028,329,4,0,1,1.0
2028,329,4,0,2,1.0
2028,329,4,1,2,1.0
2028,329,6,0,1,1.0
2028,329,6,0,2,1.0
2028,329,6,1,2,1.0
2028,329,8,0,1,1.0
2028,329,8,0,2,1.0
2028,329,8,1,2,1.0
2028,86,2,0,1,1.0
2028,86,2,0,2,1.0
2028,86,2,1,2,1.0
2028,86,4,0,1,1.0
2028,86,4,0,2,1.0
2028,86,4,1,2,1.0
2028,86,6,0,1,1.0
2028,86,6,0,2,1.0
2028,86,6,1,2,1.0
2028,86,8,0,1,1.0
2028,86,8,0,2,1.0
2028,86,8,1,2,1.0
2028,4,2,0,1,1.0
2028,4,2,0,2,1.0
2028,4,2,1,2,1.0
2028,4,4,0,1,1.0
2028,4,4,0,2,1.0
2028,4,4,1,2,1.0
2028,4,6,0,1,1.0
2028,4,6,0,2,1.0
2028,4,6,1,2,1.0
2028,4,8,0,1,1.0
2028,4,8,0,2,1.0
2028,4,8,1,2,1.0
2028,70,2,0,1,1.0
2028,70,2,0,2,1.0
2028,70,2,1,2,1.0
2028,70,4,0,1,1.0
2028,70,4,0,2,1.0
2028,70,4,1,2,1.0
2028,70,6,0,1,1.0
2028,70,6,0,2,1.0
2028,70,6,1,2,1.0
2028,70,8,0,1,1.0
2028,70,8,0,2,1.0
2028,70,8,1,2,1.0
2028,583,2,0,1,1.0
2028,583,2,0,2,1.0
2028,583,2,1,2,1.0
2028,583,4,0,1,1.0
2028,583,4,0,2,1.0
2028,583,4,1,2,1.0
2028,583,6,0,1,1.0
2028,583,6,0,2,1.0
2028,583,6,1,2,1.0
2028,583,8,0,1,1.0
2028,583,8,0,2,1.0
2028,583,8,1,2,1.0
2028,436,2,0,1,1.0
2028,436,2,0,2,1.0
2028,436,2,1,2,1.0
2028,436,4,0,1,1.0
2028,436,4,0,2,1.0
2028,436,4,1,2,1.0
2028,436,6,0,1,1.0
2028,436,6,0,2,1.0
2028,436,6,1,2,1.0
2028,436,8,0,1,1.0
2028,436,8,0,2,1.0
2028,436,8,1,2,1.0
2028,525,2,0,1,1.0
2028,525,2,0,2,1.0
2028,525,2,1,2,1.0
2028,525,4,0,1,1.0
2028,525,4,0,2,1.0
2028,525,4,1,2,1.0
2028,525,6,0,1,1.0
2028,525,6,0,2,1.0
2028,525,6,1,2,1.0
2028,525,8,0,1,1.0
2028,525,8,0,2,1.0
2028,525,8,1,2,1.0
2028,593,2,0,1,1.0
2028,593,2,0,2,1.0
2028,593,2,1,2,1.0
2028,593,4,0,1,1.0
2028,593,4,0,2,1.0
2028,593,4,1,2,1.0
2028,593,6,0,1,1.0
2028,593,6,0,2,1.0
2028,593,6,1,2,1.0
2028,593,8,0,1,1.0
2028,593,8,0,2,1.0
2028,593,8,1,2,1.0
2028,27,2,0,1,1.0
2028,27,2,0,2,1.0
2028,27,2,1,2,1.0
2028,27,4,0,1,1.0
2028,27,4,0,2,1.0
2028,27,4,1,2,1.0
2028,27,6,0,1,1.0
2028,27,6,0,2,1.0
2028,27,6,1,2,1.0
2028,27,8,0,1,1.0
2028,27,8,0,2,1.0
2028,27,8,1,2,1.0
2028,23,2,0,1,1.0
2028,23,2,0,2,1.0
2028,23,2,1,2,1.0
2028,23,4,0,1,1.0
2028,23,4,0,2,1.0
2028,23,4,1,2,1.0
2028,23,6,0,1,1.0
2028,23,6,0,2,1.0
2028,23,6,1,2,1.0
2028,23,8,0,1,1.0
2028,23,8,0,2,1.0
2028,23,8,1,2,1.0
2028,556,2,0,1,1.0
2028,556,2,0,2,1.0
2028,556,2,1,2,1.0
2028,556,4,0,1,0.6
2028,556,4,0,2,0.6
2028,556,4,1,2,1.0
2028,556,6,0,1,1.0
2028,556,6,0,2,1.0
2028,556,6,1,2,1.0
2028,556,8,0,1,1.0
2028,556,8,0,2,1.0
2028,556,8,1,2,1.0
2028,553,2,0,1,1.0
2028,553,2,0,2,1.0
2028,553,2,1,2,1.0
2028,553,4,0,1,1.0
2028,553,4,0,2,1.0
2028,553,4,1,2,1.0
2028,553,6,0,1,1.0
2028,553,6,0,2,1.0
2028,553,6,1,2,1.0
2028,553,8,0,1,1.0
2028,553,8,0,2,1.0
2028,553,8,1,2,1.0
2028,11,2,0,1,1.0
2028,11,2,0,2,1.0
2028,11,2,1,2,1.0
2028,11,4,0,1,1.0
2028,11,4,0,2,1.0
2028,11,4,1,2,1.0
2028,11,6,0,1,1.0
2028,11,6,0,2,1.0
2028,11,6,1,2,1.0
2028,11,8,0,1,1.0
2028,11,8,0,2,1.0
2028,11,8,1,2,1.0
2028,326,2,0,1,1.0
2028,326,2,0,2,1.0
2028,326,2,1,2,1.0
2028,326,4,0,1,1.0
2028,326,4,0,2,1.0
2028,326,4,1,2,1.0
2028,326,6,0,1,1.0
2028,326,6,0,2,1.0
2028,326,6,1,2,1.0
2028,326,8,0,1,1.0
2028,326,8,0,2,1.0
2028,326,8,1,2,1.0
2028,343,2,0,1,1.0
2028,343,2,0,2,1.0
2028,343,2,1,2,1.0
2028,343,4,0,1,1.0
2028,343,4,0,2,1.0
2028,343,4,1,2,1.0
2028,343,6,0,1,1.0
2028,343,6,0,2,1.0
2028,343,6,1,2,1.0
2028,343,8,0,1,1.0
2028,343,8,0,2,1.0
2028,343,8,1,2,1.0
2028,362,2,0,1,1.0
2028,362,2,0,2,1.0
2028,362,2,1,2,1.0
2028,362,4,0,1,1.0
2028,362,4,0,2,1.0
2028,362,4,1,2,1.0
2028,362,6,0,1,1.0
2028,362,6,0,2,1.0
2028,362,6,1,2,1.0
2028,362,8,0,1,1.0
2028,362,8,0,2,1.0
2028,362,8,1,2,1.0
2028,275,2,0,1,1.0
2028,275,2,0,2,1.0
2028,275,2,1,2,1.0
